generation,kcat_index,mu_log10_kcat
26,kcat_12,5.0487777627627235
27,kcat_12,5.047239694489025
28,kcat_12,5.037841750632456
29,kcat_12,5.029621163555032
30,kcat_12,5.031454466323579
31,kcat_12,5.029208339316232
32,kcat_12,5.032724226469132
33,kcat_12,5.026872568326686
34,kcat_12,5.027166690213024
35,kcat_12,5.0306394360987206
36,kcat_12,5.031909600269508
37,kcat_12,5.0374424672046265
38,kcat_12,5.046889075186123
39,kcat_12,5.0450536483340755
40,kcat_12,5.037215359879033
41,kcat_12,5.033670185396182
42,kcat_12,5.029691241275653
43,kcat_12,5.0388212450768854
44,kcat_12,5.03664134517848
45,kcat_12,5.02796402094347
46,kcat_12,5.0369078146725075
47,kcat_12,5.0430664572862565
48,kcat_12,5.041120737427499
49,kcat_12,5.042225133927775
0,kcat_13,4.167248649211908
1,kcat_13,4.165121309329041
2,kcat_13,4.173855425614587
3,kcat_13,4.220020829596109
4,kcat_13,4.221488427398228
5,kcat_13,4.210901875143054
6,kcat_13,4.223286016696421
7,kcat_13,4.21501939794522
8,kcat_13,4.218699985307379
9,kcat_13,4.21987675922643
10,kcat_13,4.224824981106781
11,kcat_13,4.2255204332604315
12,kcat_13,4.222348101697546
13,kcat_13,4.224004054252608
14,kcat_13,4.229761752575936
15,kcat_13,4.219382258176777
16,kcat_13,4.222502746083338
17,kcat_13,4.218832071360376
18,kcat_13,4.224158687569471
19,kcat_13,4.223839897913964
20,kcat_13,4.2056042903689885
21,kcat_13,4.209464644087828
22,kcat_13,4.216951387572435
23,kcat_13,4.218334698556473
24,kcat_13,4.2267416964715885
25,kcat_13,4.233389527138454
26,kcat_13,4.224211473357705
27,kcat_13,4.22149024394467
28,kcat_13,4.2228444310423825
29,kcat_13,4.223790849892148
30,kcat_13,4.226883311822724
31,kcat_13,4.237216213671728
32,kcat_13,4.24500471271879
33,kcat_13,4.238133194697333
34,kcat_13,4.23942530212276
35,kcat_13,4.2424852020848745
36,kcat_13,4.240560302374568
37,kcat_13,4.238423135180256
38,kcat_13,4.231479877109951
39,kcat_13,4.2308775160018275
40,kcat_13,4.231686672449727
