NAME,ENTRY,Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YDR341C,Q05506,YDR341C,Q05506,1.540452619,Q05506,10.42425,1.540452619,10.42425,0.066493722
YDR345C,P32466,YDR345C,P32466,0.939537094,P32466,6.312021,0.939537094,6.312021,0.109813827
YDR353W,P29509,YDR353W,P29509,2.136559891,P29509,7.734816,2.136559891,7.734816,0.08961392
YDR354W,P07285,YDR354W,P07285,2.101959044,P07285,14.30955,2.101959044,14.30955,0.048439481
YDR367W,Q06346,YDR367W,Q06346,1.864859496,Q06346,14.37357,1.864859496,14.37357,0.048223732
YDR368W,Q12458,YDR368W,Q12458,3.398568419,Q12458,13.43642,3.398568419,13.43642,0.051587192
YDR371W,Q06350,YDR371W,,,Q06350,6.522016,6.522016,6.522016,0.106278056
YDR373W,Q06389,YDR373W,Q06389,1.599972272,Q06389,4.406131,1.599972272,4.406131,0.157314247
YDR376W,P48360,YDR376W,P48360,2.78276076,P48360,9.16217,2.78276076,9.16217,0.075653167
YDR377W,Q06405,YDR377W,Q06405,2.683774782,Q06405,6.233847,2.683774782,6.233847,0.11119092
YDR384C,Q12359,YDR384C,Q12359,,Q12359,0.9375452,0.9375452,0.9375452,0.739321347
YDR399W,Q04178,YDR399W,Q04178,2.039931804,Q04178,12.30581,2.039931804,12.30581,0.056326823
YDR400W,Q04179,YDR400W,,,Q04179,11.37967,11.37967,11.37967,0.060911009
YDR408C,P04161,YDR408C,P04161,5.861422151,P04161,8.592232,5.861422151,8.592232,0.080671376
YDR428C,Q04066,YDR428C,Q04066,2.061453212,Q04066,4.382935,2.061453212,4.382935,0.158146808
YDR440W,Q04089,YDR440W,,,Q04089,6.165761,6.165761,6.165761,0.112418756
YDR452W,Q04119,YDR452W,Q04119,3.564080195,Q04119,5.397946,3.564080195,5.397946,0.128409432
YDR453C,Q04120,YDR453C,Q04120,4.580229547,Q04120,4.692861,4.580229547,4.692861,0.147702474
YDR454C,P15454,YDR454C,P15454,1.870290192,P15454,10.67013,1.870290192,10.67013,0.064961456
YDR481C,P11491,YDR481C,P11491,3.160848228,P11491,8.844863,3.160848228,8.844863,0.078367204
YDR483W,P27809,YDR483W,P27809,1.596338447,P27809,3.77474,1.596338447,3.77474,0.183627794
YDR487C,Q99258,YDR487C,Q99258,2.437714015,Q99258,,2.437714015,2.437714015,0.284343108
YDR497C,P30605,YDR497C,P30605,0.433139688,P30605,0.3678558,0.433139688,0.3678558,1.884290476
YDR502C,P19358,YDR502C,P19358,1.528087307,P19358,10.11608,1.528087307,10.11608,0.068519345
YDR503C,Q04396,YDR503C,,,Q04396,7.414812,7.414812,7.414812,0.093481423
YDR508C,P48813,YDR508C,P48813,0.705488351,P48813,2.836757,0.705488351,2.836757,0.244344926
YDR513W,P17695,YDR513W,P17695,3.456598394,P17695,7.577636,3.456598394,7.577636,0.091472747
YDR516C,Q04409,YDR516C,Q04409,5.561784351,Q04409,10.51419,5.561784351,10.51419,0.065924924
YDR529C,P00128,YDR529C,P00128,3.362839722,P00128,0.1726326,3.362839722,0.1726326,4.01515809
YDR530C,P22108,YDR530C,P22108,4.731465679,P22108,13.15607,4.731465679,13.15607,0.052686492
YDR531W,Q04430,YDR531W,Q04430,1.531853691,Q04430,10.30128,1.531853691,10.30128,0.067287481
YDR533C,Q04432,YDR533C,Q04432,7.830384728,Q04432,31.16626,7.830384728,31.16626,0.022240307
YDR539W,Q03034,YDR539W,Q03034,5.529063918,Q03034,11.20509,5.529063918,11.20509,0.061860028
YEL021W,P03962,YEL021W,P03962,2.960209309,,,2.960209309,2.960209309,0.234154787
YEL024W,P08067,YEL024W,P08067,3.069016736,P08067,5.281263,3.069016736,5.281263,0.13124648
YEL027W,P25515,YEL027W,P25515,2.294264347,P25515,,2.294264347,2.294264347,0.302121759
YEL029C,P39988,YEL029C,,,P39988,12.38076,12.38076,12.38076,0.055985835
YEL031W,P39986,YEL031W,P39986,2.33680385,P39986,11.69007,2.33680385,11.69007,0.059293672
YEL038W,P32626,YEL038W,P32626,2.339358744,P32626,13.71963,2.339358744,13.71963,0.050522294
YEL039C,P00045,YEL039C,P00045,14.74551609,,,14.74551609,14.74551609,0.047007319
YEL042W,P32621,YEL042W,P32621,1.627429525,P32621,4.867209,1.627429525,4.867209,0.142411633
YEL046C,P37303,YEL046C,P37303,0.914348648,P37303,7.156281,0.914348648,7.156281,0.096858575
YEL047C,P32614,YEL047C,P32614,3.513713895,P32614,11.55808,3.513713895,11.55808,0.059970789
YEL051W,P32610,YEL051W,P32610,2.363094377,P32610,12.34454,2.363094377,12.34454,0.056150102
YEL058W,P38628,YEL058W,P38628,2.58126775,P38628,10.93899,2.58126775,10.93899,0.063364824
