protein,Y_lipolytica,K_lactis,K_marxianus,S_cerevisiae
YDR481C,-1.6022154385418925,1.017000053086662,0.6297857294033306,-0.04457034394810025
YDR502C,-1.651382653966402,0.7696207186842109,0.8228935487785383,0.058868386503654196
YDR508C,-0.780586071149176,-0.5815354597531366,-0.34967061616671546,1.7117921470690274
YDR516C,0.3136535308894656,-0.8272299800397908,1.498849341856234,-0.98527289270591
YDR529C,0.2731265562335433,1.498917682369626,-1.1190213403049274,-0.6530228982982439
YDR530C,0.5173841188547766,0.4816561370909417,-1.7245263162550768,0.725486060309358
YDR531W,-1.5525985332098025,0.10727758134540631,1.2391161798731785,0.20620477199121834
YEL024W,0.48928904745448554,1.376354793795392,-0.6818934064613147,-1.1837504347885628
YEL031W,-1.3395794418537164,1.2801378469635571,-0.5017899550956635,0.5612315499858206
YEL042W,0.6235353888311044,-0.22740802346937755,-1.5173496192660276,1.1212222539042989
YEL046C,-1.1258096578149208,1.611627212657411,-0.3356476406237525,-0.15016991421873815
YEL058W,-0.8525638620754292,1.6642820439733672,-0.7006954318052248,-0.11102275009271426
YER003C,0.6240234266629495,-1.7014895283367821,0.2788662120444287,0.7985998896294043
YER023W,1.4034060824618577,0.4656597477372621,-0.7516274364536599,-1.1174383937454586
YER043C,1.6961590924508,-0.8960998842836625,-0.40102010819009154,-0.39903909997704673
YER055C,0.5997337072998897,0.43558128659371814,-1.7248546338733355,0.6895396399797286
YER069W,-0.4512937749180223,1.6902344609112485,-0.3262516667807076,-0.9126890192125205
YER070W,-0.50287099287931,-0.7963999309042932,-0.41545032054111275,1.7147212443247153
YER073W,0.7148596280731961,0.38464043083920885,0.6199886724214181,-1.7194887313338252
YER086W,-0.29108478243018454,-1.2530842850275763,0.012867710414281794,1.531301357043477
YER090W,1.0429481141422015,0.8144315804580528,-0.4168154647592746,-1.440564229840979
YER091C,0.5221593354595172,1.3762869807370606,-1.0739920791202382,-0.8244542370763396
YER141W,1.1272209703839906,-0.12985267491424168,-1.5510955236568744,0.5537272281871255
YER178W,1.1486488175248621,-0.020068825841726926,0.44649107279157557,-1.5750710644747103
YFL018C,0.6234351630624627,-0.374079495341464,1.186867819959844,-1.4362234876808426
